user_id,product_id,asin,rating,review_title,review_text,category,timestamp,helpful_vote,verified_purchase,product_name,store,price,features,description,image_url,is_synthetic_interaction
AE22ROVSXEBTQR3P74MUNSRFPZZQ,B071X4ZX3X,B071DTXLFC,5.0,Excellent gift!,Excellent gift for any occasion.,Gift Cards,1518059489222,0,True,B071X4ZX3X,,,,,,False
AE22ROVSXEBTQR3P74MUNSRFPZZQ,B018F4M89S,B071VCQJ24,5.0,Cute/perfect gift,Perfect gift! And so cute the santa card holder is!,Gift Cards,1545316892184,0,True,B018F4M89S,,,,,,False
AE22ROVSXEBTQR3P74MUNSRFPZZQ,B07FMK2JQ8,B07FMK2JQ8,5.0,Alteady gift wrapped. So cute,Cute little gift bag! I would recommend this product.,Gift Cards,1575563547701,0,True,B07FMK2JQ8,,,,,,False
AE22ROVSXEBTQR3P74MUNSRFPZZQ,B018F4M89S,B072F9T6VX,5.0,Great for any occasion,Gift card holder for any occasion cute and classy.,Gift Cards,1602822531591,1,True,B018F4M89S,,,,,,False
AE22ROVSXEBTQR3P74MUNSRFPZZQ,B078GWV31Z,B01LXGGQXW,5.0,Excellent,It was a cute added addition to the gift I attached it to. They liked it.,Gift Cards,1642663976295,0,True,B078GWV31Z,,,,,,False
AE22ROVSXEBTQR3P74MUNSRFPZZQ,B00ADR2LV6,B01K8RJ5GY,5.0,So cute!,"Super cute The reindeer is an ornament to put on your tree, the gift card is inside. Perfect!",Gift Cards,1670480768512,0,True,B00ADR2LV6,,,,,,False
AE23ZLT2QYU6NIHTBMOG3ZRDSRGQ,B077961G2Y,B077961G2Y,5.0,Great value.,Perfect replacement for our Affinity. Easy to install. Love that it comes with two. Seems sturdy and we haven’t used both but should it ever break we will already have a back up.,Appliances,1554951658143,0,True,B077961G2Y,,,,,,False
AE23ZLT2QYU6NIHTBMOG3ZRDSRGQ,B00YTUVIX0,B00YTUVIX0,5.0,Just what we needed,Got this for a replacement piece on our Frigidaire Infinity front loading washer.  It was really hard to find black. It went on easily and now our door is fixed and we can get a few more years out of it.,Appliances,1597580018200,0,True,B00YTUVIX0,,,,,,False
AE23ZLT2QYU6NIHTBMOG3ZRDSRGQ,B00XN373CO,B00XN373CO,5.0,Just what we needed,Needed this for replacing our front loading Frigidaire Infinity washer door. It went on easily and now the door is fixed and we can get a few more years out of it.,Appliances,1597580115900,0,True,B00XN373CO,,,,,,False
AE23ZLT2QYU6NIHTBMOG3ZRDSRGQ,B07RW3HHML,B07RW3HHML,5.0,Just what we needed,This is the exact part we needed for our Frigidaire Infinity front loading Washer. We were able to easily install we found a video on YouTube but it wasn’t necessary really. Now we can get a few more years out of it.,Appliances,1597580236317,0,True,B07RW3HHML,,,,,,False
